"Moška imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
" ";"2008";"2009";"2010";"2011";"2012";"2013"
"Aaron";14;16;16;18;22;22
"Abaz";22;24;30;31;29;32
"Abdija";17;16;18;18;18;18
"Abdo";5;5;6;6;5;5
"Abdula";11;9;13;12;12;12
"Abdulah";85;77;76;77;77;77
"Abdullah";5;-;5;6;8;8
"Abdurahman";12;12;14;12;12;14
"Abdurrahman";5;5;5;5;8;8
"Abedin";28;27;34;31;33;33
"Abel";11;11;13;14;15;17
"Abid";40;40;40;37;37;36
"Abidin";7;7;9;7;6;7
"Aca";14;14;13;13;13;13
"Ace";7;5;7;8;6;6
"Aco";69;68;67;64;62;68
"Adalbert";41;38;38;38;37;35
"Adam";367;391;407;426;452;480
"Adan";-;-;5;5;-;6
"Adel";69;85;88;90;92;98
"Adem";278;283;300;300;298;292
"Ademir";8;9;10;11;15;13
"Adi";83;86;91;91;90;90
"Adian";6;7;7;8;15;19
"Adijan";5;5;8;9;13;14
"Adil";97;110;112;111;111;113
"Adin";50;57;71;84;99;107
"Adis";328;344;382;386;384;388
"Admin";8;8;7;7;8;8
"Admir";466;446;497;488;485;493
"Adnan";439;448;494;509;531;531
"Adnel";-;-;5;5;6;6
"Adnen";13;13;12;12;12;12
"Ado";23;26;25;26;25;26
"Adolf";1022;994;958;933;907;878
"Adonis";5;6;5;8;7;8
"Adrian";147;169;177;195;212;230
"Adriano";39;40;47;49;52;54
"Adriatik";-;-;-;-;5;-
"Adrijan";220;225;229;230;236;234
"Adrijano";43;42;42;42;42;41
"Advan";7;6;6;7;9;10
"Afet";-;-;6;6;6;7
"Afrim";83;90;101;101;95;87
"Agan";51;47;52;53;54;53
"Agim";125;129;142;127;130;124
"Ago";23;21;22;24;23;21
"Agon";5;-;5;5;5;9
"Agron";88;91;108;98;93;88
"Ahac";26;26;28;29;30;31
"Ahmed";50;49;53;60;63;62
"Ahmedin";6;6;10;10;8;7
"Ahmet";322;313;343;331;336;333
"Ahmo";42;44;41;42;41;42
"Aid";16;16;18;19;25;28
"Aidan";5;7;7;7;7;8
"Ajan";-;7;9;10;13;19
"Ajas";11;11;12;12;13;13
"Ajdan";6;6;6;6;6;6
"Ajdin";118;137;161;180;201;232
"Ajet";32;33;37;33;32;32
"Ajhan";7;8;8;7;7;7
"Ajiz";16;16;15;14;14;14
"Ajlan";-;-;-;-;-;6
"Ajman";-;-;-;5;6;7
"Ajnur";8;8;8;9;10;17
"Aki";6;-;5;5;-;-
"Akif";23;18;21;17;15;16
"Akija";5;6;6;5;5;5
"Al";12;13;14;14;14;14
"Aladar";12;12;11;11;10;9
"Aladin";50;53;58;58;57;62
"Alaga";53;53;58;57;57;54
"Alain";36;37;37;36;38;38
"Alajdin";5;5;5;5;5;-
"Alan";508;520;531;541;545;554
"Alban";37;43;52;51;51;53
"Albert";881;875;856;837;818;797
"Alberto";25;24;25;23;29;25
"Albian";-;-;-;-;-;5
"Albin";2057;2014;1968;1936;1893;1843
"Albino";7;7;7;8;8;8
"Albion";13;14;20;24;25;26
"Aldijan";6;7;7;8;8;8
"Aldin";188;194;226;228;229;232
"Aldo";236;229;230;223;216;216
"Ale";70;77;77;76;73;73
"Alec";5;5;5;6;6;6
"Alej";5;5;6;7;7;8
"Alejandro";-;-;-;5;5;-
"Alek";17;18;21;23;26;27
"Aleks";796;861;926;1008;1084;1165
"Aleksa";70;81;82;85;91;98
"Aleksandar";1105;1116;1208;1209;1244;1289
"Aleksander";5516;5513;5513;5540;5534;5526
"Aleksander Sandi";-;-;-;-;-;5
"Aleksander Saša";13;13;12;13;14;14
"Aleksander Sašo";20;18;18;18;16;16
"Aleksandr";9;10;11;10;12;13
"Aleksandro";5;6;6;7;8;8
"Aleksej";153;173;202;243;284;328
"Aleksij";27;29;29;30;30;31
"Aleksije";5;5;5;5;5;5
"Alem";42;49;52;57;63;72
"Alen";3498;3565;3649;3688;3736;3762
"Ales";-;-;-;-;5;5
"Alessandro";29;31;36;39;44;49
"Alessio";5;5;6;6;-;5
"Aleš";10740;10727;10725;10704;10709;10671
"Alex";397;453;496;535;581;633
"Alexandar";-;-;5;6;6;6
"Alexander";125;135;143;148;150;164
"Alexandr";-;-;-;6;7;8
"Alexandru";8;5;7;6;6;7
"Alexei";-;9;12;13;15;18
"Alexej";-;6;6;6;6;7
"Alexey";5;8;10;12;15;17
"Alfio";-;5;-;-;5;5
"Alfons";7;5;5;-;-;-
"Alfonz";252;245;242;238;228;220
"Alfred";238;233;233;226;224;216
"Alfredo";9;10;10;11;10;9
"Ali";123;131;152;162;176;186
"Alija";239;234;255;242;234;240
"Alil";6;5;-;5;6;6
"Alim";5;6;8;8;6;7
"Alin";6;8;12;13;14;16
"Alis";23;24;29;32;32;33
"Alit";7;7;6;6;6;7
"Aljan";-;-;-;6;6;7
"Aljaš";6;7;7;9;10;10
"Aljaž";3915;4099;4306;4460;4613;4772
"Alji";11;11;7;6;5;5
"Aljo";17;20;17;16;15;15
"Aljoš";-;5;5;5;5;5
"Aljoša";1716;1732;1744;1763;1769;1777
"Allan";5;-;-;-;6;5
"Allen";17;17;17;17;17;17
"Alli";5;5;5;6;8;7
"Almaz";11;11;13;13;12;12
"Almedin";45;47;56;55;55;53
"Almin";65;69;86;90;98;107
"Almir";483;513;575;569;573;587
"Alois";14;13;14;12;11;12
"Alojz";9356;9100;8897;8696;8465;8253
"Alojz Andrej";5;5;5;5;5;5
"Alojz Franc";5;5;5;5;5;5
"Alojz Ivan";6;6;6;6;6;6
"Alojz Janez";5;-;-;-;-;-
"Alojz Marjan";5;5;5;-;-;-
"Alojz Slavko";27;26;25;24;22;22
"Alojz Stanislav";6;6;5;5;5;5
"Alojzij";4358;4224;4051;3891;3737;3575
"Alojzij Anton";6;6;6;6;6;6
"Alojzij Franc";8;8;7;7;7;7
"Alojzij Janez";5;5;5;5;-;-
"Alojzij Slavko";26;26;24;24;24;19
"Alojzij Stanislav";11;11;10;10;10;10
"Alojzija";-;5;5;5;-;-
"Alojzije";28;27;27;26;25;25
"Altin";13;15;17;23;25;31
"Alton";-;-;-;-;-;5
"Alush";11;12;12;9;10;10
"Aluš";5;5;-;-;-;-
"Alvedin";8;7;10;11;10;10
"Alvin";13;13;12;14;14;15
"Alvir";7;6;6;5;5;6
"Amadei";-;-;-;-;5;5
"Amadej";428;454;485;520;536;556
"Amadeo";9;9;10;10;10;11
"Amadeus";6;6;6;6;5;6
"Amal";6;6;6;6;6;6
"Amar";102;113;130;153;175;207
"Ambrož";306;315;323;335;351;362
