"Ženska imena po: IME, MERITVE , LETO"

" ";"Število";" ";" ";" ";" ";" "
" ";"2008";"2009";"2010";"2011";"2012";"2013"
"Abibe";-;-;5;-;5;5
"Abida";10;10;10;10;10;10
"Abide";-;-;-;-;5;5
"Ada";357;354;356;352;353;353
"Ada Marija";6;6;6;6;6;5
"Adalberta";11;11;10;10;10;10
"Adea";-;-;-;5;7;7
"Adeja";-;-;-;-;-;5
"Adela";432;424;426;428;427;424
"Adela Marija";5;5;5;5;5;5
"Adelaida";6;7;8;8;8;7
"Adelajda";8;9;10;10;10;9
"Adele";12;12;11;13;13;15
"Adelhajda";5;6;6;6;6;5
"Adelheid";8;9;9;8;8;8
"Adelija";11;11;11;11;11;11
"Adelina";91;94;109;115;130;141
"Adelisa";53;55;58;62;63;70
"Adelita";11;12;11;11;12;12
"Adelja";6;6;6;6;6;6
"Adema";6;7;6;8;7;8
"Adevija";12;12;13;13;14;14
"Adica";9;9;8;8;8;8
"Adila";38;39;39;39;38;38
"Adile";11;11;12;12;13;12
"Adina";11;11;11;12;13;17
"Adisa";114;117;130;138;147;158
"Admira";74;76;80;82;89;95
"Adna";40;44;55;59;78;94
"Adnana";13;13;15;15;14;19
"Adolfa";10;9;8;7;7;8
"Adolfina";22;21;21;21;21;21
"Adriana";284;289;293;294;301;308
"Adrijana";890;894;907;910;909;916
"Advija";21;20;25;23;23;25
"Advije";5;5;7;8;7;7
"Aferdita";34;37;43;42;47;50
"Afrdita";8;7;7;7;7;7
"Afrodita";19;19;19;20;21;20
"Afërdita";-;-;-;-;-;5
"Aga";11;11;11;10;10;10
"Agata";518;510;506;503;497;485
"Age";5;5;5;-;-;-
"Agica";69;69;68;69;68;67
"Agna";5;5;5;5;5;5
"Agnes";75;72;71;72;67;67
"Agnesa";20;20;23;27;31;35
"Agnese";6;6;5;5;5;-
"Agneš";5;5;6;6;5;5
"Agneta";5;5;5;5;5;5
"Agneza";49;49;49;44;44;42
"Aicha";-;5;5;5;6;6
"Aida";327;341;365;388;405;416
"Aiken";5;5;5;6;7;7
"Aila";-;5;5;6;5;5
"Aina";7;7;7;8;9;10
"Aisa";-;-;-;-;-;5
"Aisha";9;13;13;20;23;29
"Aiša";47;54;59;68;74;79
"Aja";108;113;117;120;122;125
"Ajda";1414;1546;1658;1783;1930;2096
"Ajda Ana";-;-;-;-;-;5
"Ajdina";5;6;8;7;8;8
"Ajete";-;-;-;-;-;5
"Ajiša";52;54;57;57;55;56
"Ajiše";9;9;9;9;9;9
"Ajka";64;63;64;64;64;66
"Ajko";6;7;7;7;7;7
"Ajla";207;235;264;276;301;327
"Ajlin";-;-;5;5;5;8
"Ajna";45;51;57;72;88;101
"Ajnija";-;5;5;-;5;5
"Ajra";10;10;10;10;8;8
"Ajrija";-;-;-;5;-;-
"Ajsela";8;10;10;11;11;12
"Ajsha";-;-;-;-;-;5
"Ajshe";11;13;20;24;25;29
"Ajša";149;162;175;184;197;209
"Ajše";10;9;8;8;7;6
"Ala";-;5;5;5;5;6
"Alana";6;7;9;11;12;13
"Alanis";-;5;5;5;5;5
"Alanka";5;5;5;5;5;5
"Alba";11;12;12;12;13;14
"Albana";14;15;19;20;17;19
"Alberta";98;94;90;88;83;80
"Albertina";10;10;10;10;10;10
"Albesa";-;-;5;5;5;6
"Albina";2368;2321;2272;2218;2176;2125
"Albina Marija";14;14;15;15;13;12
"Albina Zorka";5;-;-;-;-;-
"Albinca";30;31;31;31;32;32
"Albiona";9;9;13;15;16;15
"Albulena";15;21;21;25;27;28
"Alda";74;75;72;70;70;67
"Aldiana";9;8;8;8;8;8
"Aldijana";82;85;87;95;98;103
"Aldina";61;66;67;71;74;79
"Alea";5;5;5;7;10;11
"Aleja";6;8;9;9;10;12
"Alejna";10;10;13;12;13;11
"Aleks";-;-;5;5;5;5
"Aleksa";6;7;8;8;6;8
"Aleksandra";4065;4072;4089;4101;4100;4110
"Aleksandra Marija";8;8;8;8;8;7
"Aleksandra Saša";24;24;23;23;24;22
"Aleksandrija";5;5;5;5;5;5
"Alekseja";36;36;39;40;42;44
"Aleksija";12;12;14;15;15;18
"Alema";17;17;20;21;21;21
"Alena";66;67;75;78;82;85
"Alenèica";95;94;94;93;91;89
"Alenka";7908;7910;7900;7882;7877;7853
"Alenka Helena";9;8;8;8;9;9
"Alenka Marija";23;24;23;21;21;21
"Alesia";-;5;5;6;6;8
"Alessandra";12;13;15;15;17;19
"Alessia";12;12;15;17;19;21
"Aleša";169;171;172;172;175;178
"Aleška";34;34;34;34;36;36
"Alex";10;9;10;11;12;15
"Alexa";-;-;-;-;-;5
"Alexandra";60;62;67;70;75;74
"Alexia";10;10;11;12;12;15
"Alia";5;5;6;8;8;7
"Aliana";-;-;-;-;-;7
"Alica";22;22;23;25;25;25
"Alice";25;25;28;28;29;28
"Alicia";6;5;6;8;8;8
"Alicija";-;-;-;5;5;5
"Alièe";12;12;12;12;12;12
"Alida";55;58;58;58;59;58
"Alija";37;38;35;38;38;37
"Alijana";56;57;57;59;60;61
"Alije";25;28;29;32;31;30
"Alijja";6;6;6;5;6;6
"Alin";33;35;39;40;43;44
"Alina";247;305;370;446;521;603
"Alis";9;9;9;9;9;9
"Alisa";177;190;204;221;236;245
"Alisha";-;-;5;6;8;8
"Alison";27;28;28;28;27;28
"Alissa";-;6;6;6;7;7
"Ališa";13;13;15;17;18;19
"Alja";1371;1445;1500;1562;1608;1658
"Aljana";61;61;61;62;63;64
"Aljaša";6;6;6;7;8;8
"Aljonka";5;5;5;5;5;5
"Aljoša";77;78;78;78;77;77
"Aljoška";14;14;14;14;14;14
"Alla";16;17;18;20;21;22
"Allegra";-;-;-;-;5;5
"Alma";858;866;883;904;915;923
"Alma Marija";10;10;9;8;8;7
"Almasa";9;8;8;10;10;9
"Almaze";7;7;7;7;7;7
"Almedina";50;53;59;59;65;71
"Almina";33;38;39;39;44;44
"Almira";315;311;316;317;321;328
"Alojzija";5733;5561;5347;5197;5023;4852
"Alojzija Ana";8;8;9;8;7;6
"Alojzija Franèiška";5;5;5;5;5;5
"Alojzija Marija";17;16;16;15;15;14
"Alojzija Slava";9;9;9;9;9;8
"Alojzija Slavica";17;15;15;15;15;15
"Alojzija Slavka";21;21;21;21;20;20
"Alojzija Stanislava";5;5;5;5;5;5
"Alona";6;7;9;8;11;11
"Altina";13;16;16;18;19;23
"Alvina";6;7;7;7;7;7
"Alvira";5;6;6;6;7;7
"Alya";-;7;9;12;15;18
"Amadea";47;47;46;48;49;48
"Amadeja";279;287;294;300;310;320
"Amajla";-;-;-;-;-;5
"Amalia";14;14;15;16;19;17
"Amalija";2387;2309;2248;2159;2067;1977
"Amalija Ana";5;5;5;5;5;5
"Amalija Ljubica";6;6;6;6;6;6
"Amalija Marija";9;9;8;8;8;8
"Amanda";219;225;228;230;232;234
"Amaya";-;-;-;-;5;6
"Amber";-;-;5;8;8;9
"Ambra";-;-;-;-;5;6
"Amedea";9;9;10;11;11;11
"Amedeja";10;10;10;10;10;10
