"GEO";"BCA";"BCA_NGDPD";"GGR_NGDP";"GGXCNL_NGDP";"GGX_NGDP";"GGXWDG_NGDP";"LP";"NGDPD";"NGDP_D";"NGDPDPC";"NGDP_RPCH";"NGSD_NGDP";"NID_NGDP";"PCPI";"PCPIE";"PCPIEPCH";"PCPIPCH";"PPPEX";"PPPGDP";"PPPPC";"PPPSH";"TMG_RPCH";"TM_RPCH";"TXG_RPCH";"TX_RPCH"
"Albania";-1353;-11509;26146;-4241;30386;58531;3210;11752;189554;3660,496;3800;15340;26853;107076;109519;3357;3548;51085;23930;7453,877;32;-2851;-4388;28564;24738
"Algeria";12157;7514;36507;-386;36893;12059;35978;161783;201479;4496,725;3600;49179;41665;136230;138216;2725;3913;48548;247886;6889,938;330;-1781;-1781;-3313;-3647
"Angola";6683;8103;43479;4624;38854;37628;19053;82471;565866;4328,513;3408;21645;13542;93047;1e+05;15322;14480;69808;108577;5698,706;145;-31580;-21229;-3425;-3237
"Antigua and Barbuda";-167;-14716;22469;-245;22714;90782;88;1136;130388;12962,775;-8528;14639;29355;122082;123900;2941;3371;2007;1528;17437,316;2;-17208;-14093;-17208;-3241
"Argentina";950;259;37165;-1356;38521;49178;40117;367561;341539;9162,211;9162;22191;24432;266570;271956;10923;10461;2257;638730;15921,639;851;40179;39877;14301;13932
"Armenia";-1373;-14829;21221;-4979;26201;33741;3263;9260;127687;2838,315;2200;14590;29419;224901;235269;8482;7274;207251;16696;5117,294;22;1897;2804;25283;32597
"Australia";-37320;-2992;32078;-5087;37165;20514;22172;1247,214;97588;56250,574;2626;23961;26954;96100;96900;2757;2918;1554;872447;39348,23;1162;13912;14266;7649;5659
"Austria";12924;3416;48311;-4498;52809;72269;8388;378384;108933;45111,552;1769;24467;21051;109530;110930;2174;1690;865;329677;39304,591;439;9783;9091;12152;9358
"Azerbaijan";14834;28035;45652;13978;31674;11148;8998;52913;199617;5880,806;4959;46567;18532;234788;212383;7881;5666;471;90230;10028,256;120;-3965;-828;-1382;-1792
"Bahamas";-813;-10310;16584;-4323;20907;44821;345;7888;103272;22895,419;988;15097;25438;100662;101602;1517;1342;768;10274;29821,289;14;-6341;-5347;-6529;2284
"Bahrain";771;3587;27174;-6979;34153;35535;1107;21488;157904;19419,996;4742;35043;31455;112042;112200;990;1970;272;29757;26892,334;40;5456;5024;2064;1738
"Barbados";-259;-5835;33917;-7707;41624;70337;277;4434;830359;16029,802;235;8325;14161;146620;152893;6554;5761;1332;6659;24075,214;9;26;-704;8978;3972
"Belarus";-8278;-14990;41593;-4340;45932;39502;9481;55221;111071;5824,379;7741;27355;42345;162114;169877;9927;7743;1258,694;130672;13782,52;174;8000;12225;2800;7669
"Belgium";9028;1911;48666;-3898;52563;95559;10840;472466;1e+05;43585,789;2416;22494;20583;111401;113160;3380;2332;903;394469;36390,417;525;5272;5272;7983;7983
"Belize";-39;-2811;27496;-1672;29168;84690;332;1392;114011;4199,088;2725;15189;18000;128345;127523;17;918;1045;2665;8038,541;4;1656;872;21235;9028
"Benin";-574;-8743;20047;-400;20447;30225;9510;6570;131786;690869;2552;8857;17600;102590;104958;4018;2179;234963;13823;1453,567;18;7500;7483;-8696;-6363
"Bhutan";-142;-9498;46344;1646;44698;53411;726;1497;159655;2062,604;11676;33683;52255;958460;978442;9099;7036;18265;3968;5466,384;5;31220;29229;-419;1108
"Bolivia";766;3869;33165;1666;31500;38520;10426;19786;423117;1897,729;4127;24969;17007;118520;124490;7180;2502;2898;47578;4563,343;63;11548;11548;3258;3258
"Bosnia and Herzegovina";-932;-5554;46874;-3880;50754;39305;3897;16775;123937;4304,678;722;12159;17085;135396;132691;3076;2123;819;30258;7764,354;40;-1353;-2642;18178;10122
"Botswana";-744;-5412;32455;-7486;39941;19369;2007;13755;140334;6853,67;8593;29941;35353;227174;226557;7410;6950;3319;28142;14022,292;37;7213;6481;19209;16022
"Brazil";-47273;-2206;37172;-2690;39862;64981;194947;2142,905;339122;10992,274;7534;18033;20239;20522171165156,5;21058469450875,7;5909;5039;1739;2167,433;11118,093;2886;38183;38183;9501;9501
"Bulgaria";-707;-1479;32695;-4003;36699;14937;7505;47837;135688;6374,123;393;21408;22887;136581;139300;4446;3036;731;96452;12851,933;128;-4515;-8893;6075;-1259
"Burkina Faso";-204;-2229;19763;-4643;24406;29276;16469;9136;132443;554747;8444;15819;18048;100250;100303;-261;-608;215204;20696;1256,686;28;36504;44066;173650;178830
"Burundi";-248;-12234;37304;-3647;40950;39781;8368;2027;165718;242210;3786;7766;19158;886800;886800;4090;4090;516578;4829;577065;6;161427;161427;16419;34135
"Cambodia";-441;-3916;17034;-2846;19879;29059;14953;11255;154727;752677;6096;13431;17348;136365;138245;3143;3997;1536,565;30654;2049,955;41;7796;7796;23879;32083
"Cameroon";-677;-3002;17414;-1139;18554;12106;20424;22535;121270;1103,388;3343;13365;16367;215725;219600;2569;1279;250842;44412;2174,54;59;12405;8330;-899;-1569
"Canada";-56709;-3513;38193;-4928;43121;83109;34076;1614,072;104356;47367,378;3374;19826;23339;116475;117767;2228;1769;1221;1362,237;39976,908;1814;14007;13621;8389;6867
"Cape Verde";-207;-12427;27924;-10747;38672;72978;488;1667;106332;3419,783;1467;25257;37684;126943;128807;3426;2079;70955;1953;4005,128;3;-877;-3135;28081;3990
"Central African Republic";-202;-10195;17150;-1425;18575;32311;4350;1986;118948;456564;3047;4070;14266;137835;139231;2261;1491;285135;3450;793047;5;8304;13357;9675;9796
"Chad";-431;-4034;20249;-4161;24410;26308;10223;10678;118778;1044,497;13550;30445;34479;116783;113200;-2161;-2123;224553;23507;2299,473;31;16072;16336;-2449;-6925
"Chile";3224;1483;23532;-366;23898;8599;17094;217312;112949;12712,541;5702;24064;22407;101410;102467;2972;1408;405497;273450;15996,583;364;31390;25761;-154;2499
"China";237810;4010;21307;-1527;22834;33538;1340,91;5930,393;283930;4422,663;10447;52229;48219;247762;133813;4600;3325;3999;10039,901;7487,378;13370;22278;20097;28353;27772
"Colombia";-8821;-3090;26097;-3298;29395;36436;45512;285494;128339;6273,008;3972;19036;22126;199762;201665;3176;2272;1260,501;432307;9498,858;576;13865;13865;1716;1716
