"Ajdovšèina";1985;1511;415;103
"Ankaran/Ancarano";397;235;30;5
"Apaèe";496;267;32;5
"Beltinci";1030;642;132;23
"Benedikt";238;229;52;14
"Bistrica ob Sotli";157;111;31;5
"Bled";973;605;125;22
"Bloke";156;113;37;11
"Bohinj";572;387;102;19
"Borovnica";492;356;61;23
"Bovec";413;179;36;8
"Braslovèe";597;460;105;10
"Brda";624;523;74;9
"Brezovica";1222;1073;265;62
"Brežice";2890;1770;310;54
"Cankova";236;141;23;2
"Celje";6028;3432;503;92
"Cerklje na Gorenjskem";688;666;186;51
"Cerknica";1157;888;249;49
"Cerkno";505;372;103;28
"Cerkvenjak";250;164;39;4
"Cirkulane";281;159;36;9
"Èrenšovci";489;329;67;17
"Èrna na Koroškem";386;208;33;12
"Èrnomelj";1640;1154;219;60
"Destrnik";313;210;34;6
"Divaèa";458;278;52;9
"Dobje";115;88;20;3
"Dobrepolje";343;288;134;31
"Dobrna";243;178;33;5
"Dobrova - Polhov Gradec";703;646;197;81
"Dobrovnik/Dobronak";176;87;17;4
"Dol pri Ljubljani";575;537;135;31
"Dolenjske Toplice";379;306;51;10
"Domžale";3741;3094;662;141
"Dornava";314;226;42;5
"Dravograd";1011;669;131;17
"Duplek";897;542;82;15
"Gorenja vas - Poljane";584;542;293;117
"Gorišnica";451;355;58;15
"Gorje";311;231;58;9
"Gornja Radgona";1091;584;105;23
"Gornji Grad";279;169;64;10
"Gornji Petrovci";288;134;15;7
"Grad";313;150;28;5
"Grosuplje";1865;1715;478;104
"Hajdina";515;272;46;16
"Hoèe - Slivnica";1427;793;115;37
"Hodoš/Hodos";30;22;2;3
"Horjul";248;240;81;27
"Hrastnik";1191;606;79;13
"Hrpelje - Kozina";508;347;44;5
"Idrija";1196;881;222;67
"Ig";766;608;130;21
"Ilirska Bistrica";1564;1137;164;21
"Ivanèna Gorica";1520;1372;426;92
"Izola/Isola";1939;1208;139;14
"Jesenice";2501;1534;256;43
"Jezersko";68;40;11;8
"Juršinci";282;195;44;6
"Kamnik";3073;2527;641;98
"Kanal";667;422;89;22
"Kidrièevo";800;521;74;14
"Kobarid";477;303;76;16
"Kobilje";65;49;6;2
"Koèevje";1889;1243;205;43
"Komen";387;314;52;3
"Komenda";587;533;169;21
"Koper/Capodistria";6310;3812;512;73
"Kostanjevica na Krki";281;221;39;7
"Kostel";72;33;5;2
"Kozje";341;241;58;6
"Kranj";6163;4513;965;181
"Kranjska Gora";618;351;59;3
"Križevci";389;301;40;8
"Krško";2893;1938;427;99
"Kungota";628;327;78;10
"Kuzma";185;122;15;7
"Laško";1570;974;205;43
"Lenart";924;635;109;22
"Lendava/Lendva";1447;628;85;20
"Litija";1624;1262;257;56
"Ljubljana";31852;20200;3482;639
"Ljubno";304;223;50;8
"Ljutomer";1410;831;162;34
"Log - Dragomer";428;287;69;14
"Logatec";1308;1119;369;115
"Loška dolina";364;286;79;20
"Loški Potok";172;151;52;9
"Lovrenc na Pohorju";398;246;31;9
"Luèe";164;121;31;7
"Lukovica";541;481;153;37
"Majšperk";487;293;53;13
"Makole";243;153;31;9
"Maribor";13716;6374;847;237
"Markovci";498;354;53;12
"Medvode";1567;1425;293;77
"Mengeš";842;627;154;25
"Metlika";938;643;144;39
"Mežica";444;229;39;5
"Miklavž na Dravskem polju";882;482;62;13
"Miren - Kostanjevica";639;377;64;7
"Mirna";275;201;42;10
"Mirna Peè";275;252;73;17
"Mislinja";534;394;75;13
"Mokronog - Trebelno";311;249;67;13
"Moravèe";439;475;158;43
"Moravske Toplice";775;432;63;12
"Mozirje";430;323;79;22
"Murska Sobota";2612;1259;164;38
"Muta";434;244;54;9
"Naklo";539;461;109;40
"Nazarje";304;197;47;5
"Nova Gorica";3778;2391;421;55
"Novo mesto";3911;2916;643;158
"Odranci";184;138;34;9
"Oplotnica";482;335;70;19
"Ormož";1520;954;155;36
"Osilnica";47;14;3;1
"Pesnica";916;545;90;27
"Piran/Pirano";2239;1188;145;27
"Pivka";621;539;115;17
"Podèetrtek";389;259;48;12
"Podlehnik";237;134;26;2
"Podvelka";293;171;32;7
"Poljèane";484;344;65;10
"Polzela";681;487;94;22
"Postojna";1747;1270;262;47
"Prebold";587;386;57;10
"Preddvor";329;289;83;27
"Prevalje";739;485;90;19
"Ptuj";3001;1683;215;38
"Puconci";803;457;65;11
"Raèe - Fram";919;538;73;18
"Radeèe";545;274;62;10
"Radenci";654;390;43;10
"Radlje ob Dravi";755;473;74;11
"Radovljica";2150;1523;279;59
"Ravne na Koroškem";1362;774;131;18
"Razkrižje";166;100;19;4
"Reèica ob Savinji";250;194;42;15
"Renèe - Vogrsko";545;353;43;7
"Ribnica";924;787;227;46
"Ribnica na Pohorju";134;86;12;6
"Rogaška Slatina";1240;921;163;39
"Rogašovci";424;237;33;10
"Rogatec";380;227;44;9
"Ruše";958;503;67;13
"Selnica ob Dravi";605;347;46;11
"Semiè";409;283;64;14
"Sevnica";1947;1230;313;58
"Sežana";1474;975;130;18
"Slovenj Gradec";2010;1323;263;44
"Slovenska Bistrica";3022;2082;393;64
